nose_radius_ratio,sidepod_taper,wing_attack_deg,drag_obj,stability_obj,manufacturing_obj,score
0.13,0.7,4,0.23698111111111111,0.15400000000000003,0.1,0.19568866666666668
0.13,0.7,6,0.24087,0.17400000000000002,0.12333333333333334,0.20652199999999998
0.13,0.9,-2,0.23104777777777777,0.14200000000000002,0.1,0.18912866666666667
0.13,0.9,0,0.23027,0.122,0.1,0.183662
0.13,0.9,2,0.23104777777777777,0.126,0.1,0.18512866666666666
0.13,0.9,4,0.23338111111111112,0.14600000000000002,0.1,0.19152866666666668
0.13,0.9,6,0.23727,0.166,0.12333333333333334,0.202362
0.15,0.1,-2,0.24760777777777776,0.17400000000000002,0.1,0.20706466666666667
0.15,0.1,0,0.24683,0.154,0.1,0.201598
0.15,0.1,2,0.24760777777777776,0.158,0.1,0.20306466666666667
0.15,0.1,4,0.24994111111111111,0.17800000000000002,0.1,0.2094646666666667
0.15,0.1,6,0.25383,0.198,0.12333333333333334,0.22029799999999997
0.15,0.3,-2,0.24400777777777777,0.166,0.1,0.20290466666666668
0.15,0.3,0,0.24323,0.146,0.1,0.197438
0.15,0.3,2,0.24400777777777777,0.15,0.1,0.19890466666666667
0.15,0.3,4,0.24634111111111112,0.17,0.1,0.2053046666666667
0.15,0.3,6,0.25023,0.19,0.12333333333333334,0.21613799999999997
0.15,0.5,-2,0.24040777777777775,0.158,0.1,0.19874466666666663
0.15,0.5,0,0.23962999999999998,0.13799999999999998,0.1,0.193278
0.15,0.5,2,0.24040777777777775,0.142,0.1,0.19474466666666662
0.15,0.5,4,0.2427411111111111,0.162,0.1,0.20114466666666664
0.15,0.5,6,0.24663,0.182,0.12333333333333334,0.21197799999999997
0.15,0.7,-2,0.23680777777777776,0.15000000000000002,0.1,0.19458466666666663
0.15,0.7,0,0.23603,0.13,0.1,0.189118
0.15,0.7,2,0.23680777777777776,0.134,0.1,0.19058466666666662
0.15,0.7,4,0.2391411111111111,0.15400000000000003,0.1,0.19698466666666664
0.15,0.7,6,0.24303,0.17400000000000002,0.12333333333333334,0.207818
0.15,0.9,-2,0.23320777777777776,0.14200000000000002,0.1,0.19042466666666663
0.15,0.9,0,0.23243,0.122,0.1,0.184958
0.15,0.9,2,0.23320777777777776,0.126,0.1,0.18642466666666663
0.15,0.9,4,0.23554111111111112,0.14600000000000002,0.1,0.19282466666666664
0.15,0.9,6,0.23943,0.166,0.12333333333333334,0.203658
