longitud_mm,anchura_mm,radio_morro,conicidad,angulo_aleron,altura_mm,cd,area_m2,cda_m2,estabilidad,fabricabilidad,score
265,55,0.35,0.7,-1,25,0.2541,0.001375,0.000349,0.599,0.6,0.36986
245,65,0.3,0.7,0,25,0.2376,0.001625,0.000386,0.627,0.7,0.36989
225,55,0.2,0.7,2,25,0.272,0.001375,0.000374,0.598,0.7,0.3699
245,55,0.25,0.6,2,25,0.2776,0.001375,0.000382,0.616,0.7,0.36993
265,55,0.35,0.9,-1,25,0.2421,0.001375,0.000333,0.607,0.52,0.36996
225,55,0.2,0.9,2,25,0.26,0.001375,0.000357,0.606,0.62,0.37
225,55,0.3,0.7,-1,25,0.259,0.001375,0.000356,0.555,0.7,0.37001
245,55,0.25,0.8,2,25,0.2656,0.001375,0.000365,0.624,0.62,0.37003
245,55,0.35,0.6,-1,25,0.2646,0.001375,0.000364,0.573,0.7,0.37004
225,55,0.3,0.9,-1,25,0.247,0.001375,0.00034,0.563,0.62,0.37011
265,55,0.3,0.5,1,25,0.2621,0.001375,0.00036,0.624,0.6,0.37013
245,55,0.35,0.8,-1,25,0.2526,0.001375,0.000347,0.581,0.62,0.37014
245,55,0.2,0.9,0,30,0.2326,0.00165,0.000384,0.608,0.72,0.37017
205,55,0.2,0.6,1,25,0.2614,0.001375,0.000359,0.562,0.7,0.37025
225,55,0.25,0.5,1,25,0.267,0.001375,0.000367,0.58,0.7,0.37027
225,65,0.2,0.9,0,25,0.222,0.001625,0.000361,0.613,0.62,0.37028
245,55,0.3,0.4,1,25,0.2726,0.001375,0.000375,0.598,0.7,0.3703
205,55,0.2,0.8,1,25,0.2494,0.001375,0.000343,0.57,0.62,0.37035
265,55,0.3,0.3,0,25,0.2571,0.001375,0.000354,0.606,0.6,0.37051
245,55,0.35,0.7,2,25,0.2796,0.001375,0.000384,0.62,0.7,0.37058
