simulacion,tiempo_s,velocidad_max_mps,velocidad_max_kmh,masa_kg,cda_m2,crr,empuje_n,exito
4496,1.042,22.42,80.7,0.05032,0.003092,0.02009,9.25,1
4509,0.9905,23.3,83.9,0.05423,0.00318,0.02099,10.73,1
4522,1.0735,21.67,78.0,0.05107,0.003054,0.0168,8.65,1
4535,1.058,21.68,78.1,0.05199,0.00306,0.0246,10.33,1
4548,1.117,20.84,75.0,0.05167,0.00321,0.0194,9.05,1
4561,1.0275,22.43,80.7,0.0513,0.00296,0.01563,9.79,1
4574,1.126,20.49,73.8,0.05217,0.003369,0.02032,10.47,1
4587,1.125,20.2,72.7,0.05143,0.002891,0.02242,11.75,1
4600,1.2285,18.57,66.9,0.05175,0.002727,0.02495,9.78,1
4613,1.268,18.4,66.2,0.05292,0.003254,0.01996,8.85,1
4626,0.918,25.02,90.1,0.05244,0.002966,0.01673,12.52,1
4639,1.1085,20.58,74.1,0.05096,0.003022,0.02035,10.99,1
4652,0.9925,23.37,84.1,0.05202,0.00335,0.01861,10.21,1
4665,1.1495,20.37,73.3,0.05185,0.003813,0.02105,8.93,1
4678,1.2185,18.81,67.7,0.05323,0.00282,0.0201,9.15,1
4691,0.925,24.94,89.8,0.05043,0.003277,0.01765,11.5,1
4704,0.968,24.05,86.6,0.05174,0.003113,0.01902,10.43,1
4717,0.9305,25.07,90.3,0.04955,0.003214,0.0183,11.13,1
4730,0.9235,25.04,90.1,0.05185,0.00296,0.02001,10.92,1
4743,1.1665,19.88,71.6,0.05215,0.002952,0.01855,8.12,1
4756,1.0255,22.81,82.1,0.05212,0.002917,0.02339,9.2,1
4769,1.0345,22.37,80.5,0.05254,0.003289,0.02005,10.38,1
4782,1.119,20.6,74.2,0.0519,0.00346,0.02361,10.3,1
4795,0.9855,23.74,85.5,0.05255,0.003441,0.02063,10.93,1
4808,1.044,21.87,78.7,0.05245,0.002945,0.01777,11.18,1
4821,1.1825,19.84,71.4,0.05117,0.003283,0.01964,7.32,1
4834,0.8465,27.36,98.5,0.05145,0.002991,0.01909,12.1,1
4847,1.391,17.99,64.8,0.05022,0.004056,0.02091,9.67,1
4860,1.2345,18.54,66.8,0.05108,0.003334,0.01498,10.4,1
4873,1.054,21.9,78.8,0.05145,0.002906,0.02144,10.35,1
4886,0.9915,23.2,83.5,0.05028,0.002891,0.01946,10.5,1
4899,1.095,21.39,77.0,0.05057,0.003353,0.02059,10.62,1
4912,1.2305,18.62,67.0,0.05259,0.00327,0.02127,10.26,1
4925,1.3075,17.92,64.5,0.05361,0.003111,0.02504,8.98,1
4938,1.143,20.33,73.2,0.05153,0.003547,0.01688,9.52,1
4951,1.103,21.06,75.8,0.05156,0.003247,0.01547,9.54,1
4964,1.1485,20.25,72.9,0.05289,0.003355,0.01854,9.06,1
4977,1.283,18.47,66.5,0.05147,0.003541,0.01926,9.33,1
4990,1.085,21.14,76.1,0.05044,0.003082,0.01784,10.08,1
5003,1.2365,19.31,69.5,0.05293,0.003559,0.01936,10.95,1
5016,0.987,23.48,84.5,0.0526,0.002873,0.02141,10.61,1
5029,1.0915,21.63,77.9,0.05253,0.003459,0.01799,10.23,1
