wheelbase_mm,front_track_mm,rear_track_mm,guide_clearance_mm,axle_parallelism_mm,centerline_offset_mm,body_mass_g,wheel_radius_mm,track_delta_mm,wheel_diameter_mismatch_mm,pass,violations
190.09812740596143,31.537552081884844,31.691643576162523,0.45591857424034143,0.136058688551916,0.05660947265589704,51.09516693258393,13.634250505076317,0.15409149427767943,0.26850101015263306,0.0,1.0
189.90081429833148,31.36259289948538,31.786334747705368,0.37703989340238536,0.055032202016259135,0.0569709361289233,50.97537192133633,13.474427087022748,0.4237418482199864,0.05114582595450301,1.0,0.0
190.14978574303615,31.589859120418215,31.730392512239234,0.5163381164685071,0.12407336806544661,0.09114320418674139,51.49239253141347,13.599159790365972,0.14053339182101965,0.198319580731944,1.0,0.0
189.8731627108286,31.56993256126797,31.70841295580427,0.33125555692366293,0.07784654124584969,0.1481878770139038,50.88731190864524,13.456666918818634,0.1384803945363018,0.08666616236273228,1.0,0.0
190.10222780625733,31.580903499480247,31.75216706407414,0.3946906098584478,0.12045147862322227,0.03750284718409804,50.872378108931436,13.42392003489999,0.17126356459389314,0.15215993020002117,1.0,0.0
190.16184344852013,31.567820059956752,31.823807384666207,0.45336637744017044,0.009088351961305752,0.0891015704238438,50.84937756996465,13.552182988013673,0.25598732470945507,0.10436597602734565,1.0,0.0
190.01766006552648,31.556702696727406,31.80314600906494,0.5302267173755317,0.1327152717723829,0.0729346789069586,50.735971241197426,13.535594812676802,0.24644331233753292,0.07118962535360396,1.0,0.0
190.10288324733966,31.474665251558626,31.70798289387264,0.5605573537448281,0.03541785314572645,0.12421098046028517,51.979793810727905,13.512972058961237,0.23331764231401309,0.02594411792247442,1.0,0.0
190.13230797173037,31.486427283683387,31.854374521592202,0.5317077206413771,0.09565845560039932,0.06334969286027198,51.76283527879671,13.41569017212028,0.36794723790881534,0.16861965575943927,1.0,0.0
189.85778441573882,31.47297345972949,31.76703403074042,0.4184230883940094,0.031851399466254024,0.1230652322851538,51.663725844391664,13.462122535589357,0.2940605710109274,0.07575492882128643,1.0,0.0
190.04273380929146,31.47633793880506,31.72627437382554,0.5727753563679859,0.0679354211136261,0.041546934592501104,50.273576636718296,13.474000772908234,0.24993643502048002,0.05199845418353277,1.0,0.0
190.10749143107077,31.426672598745,31.688526266840924,0.5586797393218795,0.11517040872791953,0.09182039434152035,50.73917638477395,13.469248236291472,0.2618536680959238,0.06150352741705589,1.0,0.0
189.9592168009802,31.680495492827163,31.75793923922917,0.5106200167863767,0.07240478811233697,0.07146753620653855,51.20701553286816,13.525114232395625,0.07744374640200746,0.05022846479124965,1.0,0.0
189.89598898817485,31.57189746727246,31.832931133112552,0.43678802555564233,0.18363889556326743,0.022307197698867028,50.41707343575824,13.586459065284892,0.2610336658400918,0.17291813056978356,1.0,0.0
190.17335839215315,31.44129016652159,31.79860592803859,0.4261016194124746,0.1257960629603318,0.11436098630889766,51.512671037252765,13.470533719416505,0.3573157615170004,0.05893256116699064,1.0,0.0
